store_id,hub_id,store_name,store_segment,store_plan_price,store_latitude,store_longitude,CD_MUN,NM_MUN,SIGLA_UF,AREA_KM2
"941","27",GUMOUA ,FOOD,49.9,-23.622995,-46.699204,"3550308",São Paulo,SP,1521.110
"944","35",ZIMI ZUM ,FOOD,49,-22.97315,-43.370811,"3304557",Rio de Janeiro,RJ,1200.329
"945","29",LUPI ,GOOD,29.9,-23.561053,-46.558976,"3550308",São Paulo,SP,1521.110
"946","29",USIFLUS ,GOOD,29.9,-23.561053,-46.558976,"3550308",São Paulo,SP,1521.110
"947","5",USMIMOI RS ,FOOD,49,-23.004907,-43.318364,"3304557",Rio de Janeiro,RJ,1200.329
"948","27",RAMZI CISMURUARI RA SIPIMUARI ,GOOD,29.9,-23.622995,-46.699204,"3550308",São Paulo,SP,1521.110
"950","33",ISIM ,FOOD,49.9,-23.579067,-46.594006,"3550308",São Paulo,SP,1521.110
"951","33",GRIMEVASAIM ,GOOD,29.9,-23.579067,-46.594006,"3550308",São Paulo,SP,1521.110
"952","26",GRIMEVASAIM ,GOOD,29.9,-23.563758,-46.652621,"3550308",São Paulo,SP,1521.110
"953","26",GRIME CRU ,GOOD,29.9,-23.561121,-46.666602,"3550308",São Paulo,SP,1521.110
"955","51",CIRIROI U CAI ,FOOD,,-22.926904,-43.572533,"3304557",Rio de Janeiro,RJ,1200.329
"960","33",GRIME CRU ,GOOD,29,-23.579067,-46.594006,"3550308",São Paulo,SP,1521.110
"961","21",PIGUE PIPACO ,FOOD,49.9,-23.550407,-46.721291,"3550308",São Paulo,SP,1521.110
"964","26",GRIME CRU ZAGAUMAPILAS ,GOOD,29.9,-23.54166,-46.657483,"3550308",São Paulo,SP,1521.110
"965","17",GRIME CRU ,GOOD,29.9,-23.603557,-46.657894,"3550308",São Paulo,SP,1521.110
"966","35",CIRIROI U CAI ,FOOD,49,-22.97315,-43.370811,"3304557",Rio de Janeiro,RJ,1200.329
"967","28",GRIME CRU VALI MIVI CIMCUAMOI ,GOOD,29.9,-23.595215,-46.666397,"3550308",São Paulo,SP,1521.110
"968","28",GRIME CRU AMIARO CIRUSI  ,GOOD,29.9,-23.586689,-46.67986,"3550308",São Paulo,SP,1521.110
"975","36",IEPISMI ,FOOD,49,-30.085743,-51.245997,"4314902",Porto Alegre,RS,495.390
"976","36",PAZZI ROIE MIPILAPACO ,FOOD,49,-30.085743,-51.245997,"4314902",Porto Alegre,RS,495.390
"977","36",PRIMZURS RUSMIURIMA U PAZZIRAI ,FOOD,49,-30.085743,-51.245997,"4314902",Porto Alegre,RS,495.390
"978","55",ZUPULAR MUC ,GOOD,29.9,-23.515421,-46.665322,"3550308",São Paulo,SP,1521.110
"983","35",LUPIMUIM ,FOOD,49,-22.97315,-43.370811,"3304557",Rio de Janeiro,RJ,1200.329
"984","33",GIPUMZIGUM ,GOOD,,-23.579067,-46.594006,"3550308",São Paulo,SP,1521.110
"989","36",GRIME CRU ,GOOD,29,-30.085743,-51.245997,"4314902",Porto Alegre,RS,495.390
"995","31",ROGLISS ICUSSARAIS ,GOOD,29,-23.631835,-46.735203,"3550308",São Paulo,SP,1521.110
"997","33",PIEURISI MAROI ,GOOD,29,-23.579067,-46.594006,"3550308",São Paulo,SP,1521.110
"998","20",TRAZ LOURA RIRMAM ,FOOD,49,-22.996848,-43.361197,"3304557",Rio de Janeiro,RJ,1200.329
"999","35",LUCITA ,FOOD,49,-22.97315,-43.370811,"3304557",Rio de Janeiro,RJ,1200.329
"1000","20",PAI RUMOU ,GOOD,49,-22.996848,-43.361197,"3304557",Rio de Janeiro,RJ,1200.329
"1001","26",PEUIM GAMTRAM ,FOOD,49.9,-23.563758,-46.652621,"3550308",São Paulo,SP,1521.110
"1002","20",OIGIPUARO ,FOOD,49.9,-22.996848,-43.361197,"3304557",Rio de Janeiro,RJ,1200.329
"1003","29",ZIVIMUI ,GOOD,29,-23.561053,-46.558976,"3550308",São Paulo,SP,1521.110
"1006","25",PUGUM ,GOOD,29.9,-23.570765,-46.642043,"3550308",São Paulo,SP,1521.110
"1008","29",PUGUM ,GOOD,29.9,-23.561053,-46.558976,"3550308",São Paulo,SP,1521.110
"1009","20",CIPIMI PURGUR ,FOOD,49.9,-22.996848,-43.361197,"3304557",Rio de Janeiro,RJ,1200.329
"1010","16",CICIU SZIS ,GOOD,49,-23.020709,-43.4897,"3304557",Rio de Janeiro,RJ,1200.329
"1014","31",OUMGA ,GOOD,29,-23.631835,-46.735203,"3550308",São Paulo,SP,1521.110
"1015","31",MUMRIFAM ,GOOD,29.9,-23.658852,-46.737876,"3550308",São Paulo,SP,1521.110
"1016","36",PIPS ,FOOD,49,-30.085743,-51.245997,"4314902",Porto Alegre,RS,495.390
"1018","36",ICI EU SIVEMI ,FOOD,49,-30.085743,-51.245997,"4314902",Porto Alegre,RS,495.390
"1019","20",CISI PIUEUEMI ,GOOD,49,-22.996848,-43.361197,"3304557",Rio de Janeiro,RJ,1200.329
"1022","29",RIRIMI ,GOOD,29,-23.561053,-46.558976,"3550308",São Paulo,SP,1521.110
"1025","21",IMUI PUGIVI ,GOOD,29,-23.528072,-46.731195,"3550308",São Paulo,SP,1521.110
"1026","22",AIEMAMIMU IU PRUSEM,GOOD,29.9,-23.001696,-43.386494,"3304557",Rio de Janeiro,RJ,1200.329
